isogroup19559	Replication, recombination and repair
isogroup897	Intracellular trafficking, secretion, and vesicular transport
isogroup2553	RNA processing and modification 
isogroup1359	Signal transduction mechanisms
isogroup1982	Chromatin structure and dynamics
isogroup1982	Cell cycle control, cell division, chromosome partitioning
isogroup15489	Cell wall/membrane/envelope biogenesis
isogroup6835	Signal transduction mechanisms
isogroup11171	RNA processing and modification 
isogroup20132	Translation, ribosomal structure and biogenesis
isogroup3675	Transcription
isogroup12169	Energy production and conversion
isogroup32592	Energy production and conversion
isogroup5618	Posttranslational modification, protein turnover, chaperones
isogroup4243	Signal transduction mechanisms
isogroup4243	Posttranslational modification, protein turnover, chaperones
isogroup327	Cytoskeleton
isogroup22931	Signal transduction mechanisms
isogroup8385	Signal transduction mechanisms
isogroup30861	Posttranslational modification, protein turnover, chaperones
isogroup1428	Signal transduction mechanisms
isogroup1428	Intracellular trafficking, secretion, and vesicular transport
isogroup3760	Cytoskeleton
isogroup23340	Chromatin structure and dynamics
isogroup16855	Chromatin structure and dynamics
isogroup1881	Signal transduction mechanisms
isogroup1881	Inorganic ion transport and metabolism
isogroup13716	Translation, ribosomal structure and biogenesis
isogroup1598	Signal transduction mechanisms
isogroup42482	Inorganic ion transport and metabolism
isogroup2971	Posttranslational modification, protein turnover, chaperones
isogroup38030	Posttranslational modification, protein turnover, chaperones
isogroup12132	Lipid transport and metabolism
isogroup12132	Secondary metabolites biosynthesis, transport and catabolism
isogroup14375	Extracellular structures
isogroup4786	Posttranslational modification, protein turnover, chaperones
isogroup1349	Translation, ribosomal structure and biogenesis
isogroup18018	Replication, recombination and repair
isogroup18038	Signal transduction mechanisms
isogroup4291	Posttranslational modification, protein turnover, chaperones
isogroup27283	Transcription
isogroup20476	RNA processing and modification 
isogroup873	Signal transduction mechanisms
isogroup13458	Posttranslational modification, protein turnover, chaperones
isogroup2950	Cytoskeleton
isogroup25384	Nuclear structure
isogroup25384	Intracellular trafficking, secretion, and vesicular transport
isogroup5111	Transcription
isogroup35281	Translation, ribosomal structure and biogenesis
isogroup17323	Intracellular trafficking, secretion, and vesicular transport
isogroup7180	Posttranslational modification, protein turnover, chaperones
isogroup7190	Cytoskeleton
isogroup11863	Posttranslational modification, protein turnover, chaperones
isogroup18950	Transcription
isogroup11693	Intracellular trafficking, secretion, and vesicular transport
isogroup30545	Nuclear structure
isogroup30545	Intracellular trafficking, secretion, and vesicular transport
isogroup3203	Energy production and conversion
isogroup13004	Signal transduction mechanisms
isogroup11635.1	Posttranslational modification, protein turnover, chaperones
isogroup10559	Cytoskeleton
isogroup18221	Cell cycle control, cell division, chromosome partitioning
isogroup18221	Inorganic ion transport and metabolism
isogroup181	Posttranslational modification, protein turnover, chaperones
isogroup1878	Carbohydrate transport and metabolism
isogroup37692	Intracellular trafficking, secretion, and vesicular transport
isogroup28355	Signal transduction mechanisms
isogroup3992	Signal transduction mechanisms
isogroup3992	Cytoskeleton
isogroup4717	Signal transduction mechanisms
isogroup28002	Signal transduction mechanisms
isogroup16298	Intracellular trafficking, secretion, and vesicular transport
isogroup10385	Amino acid transport and metabolism
isogroup3751	Inorganic ion transport and metabolism
isogroup10616	Carbohydrate transport and metabolism
isogroup589	Intracellular trafficking, secretion, and vesicular transport
isogroup3823	Signal transduction mechanisms
isogroup3823	Intracellular trafficking, secretion, and vesicular transport
isogroup5233	Chromatin structure and dynamics
isogroup5233	Signal transduction mechanisms
isogroup36472	Posttranslational modification, protein turnover, chaperones
isogroup7404	Defense mechanisms
isogroup8327	Carbohydrate transport and metabolism
isogroup8327	Secondary metabolites biosynthesis, transport and catabolism
isogroup7294	Posttranslational modification, protein turnover, chaperones
isogroup6608	Replication, recombination and repair
isogroup6608	Signal transduction mechanisms
isogroup1681	Posttranslational modification, protein turnover, chaperones
isogroup1591	Signal transduction mechanisms
isogroup1591	Lipid transport and metabolism
isogroup1032	Nuclear structure
isogroup5003	Amino acid transport and metabolism
isogroup28842	Posttranslational modification, protein turnover, chaperones
isogroup10998.1	Lipid transport and metabolism
isogroup1538	Signal transduction mechanisms
isogroup4943	Extracellular structures
isogroup750.1	Energy production and conversion
isogroup80	Posttranslational modification, protein turnover, chaperones
isogroup1812	Intracellular trafficking, secretion, and vesicular transport
isogroup7247	Posttranslational modification, protein turnover, chaperones
isogroup17694	RNA processing and modification 
isogroup16032	Signal transduction mechanisms
isogroup30270	Cytoskeleton
isogroup3076	Posttranslational modification, protein turnover, chaperones
isogroup13521	Transcription
isogroup13521	Cell cycle control, cell division, chromosome partitioning
isogroup545	Carbohydrate transport and metabolism
isogroup2869	Posttranslational modification, protein turnover, chaperones
isogroup12605	Lipid transport and metabolism
isogroup11383	Cell motility
isogroup18708	Carbohydrate transport and metabolism
isogroup10264	Posttranslational modification, protein turnover, chaperones
isogroup721	Signal transduction mechanisms
isogroup721	Inorganic ion transport and metabolism
isogroup13346	Cell cycle control, cell division, chromosome partitioning
isogroup9589	Signal transduction mechanisms
isogroup12496	Cytoskeleton
isogroup2462	Cell cycle control, cell division, chromosome partitioning
isogroup2462	Cytoskeleton
isogroup2577.1	Inorganic ion transport and metabolism
isogroup15455	Signal transduction mechanisms
isogroup18352	Nucleotide transport and metabolism
isogroup41745	Signal transduction mechanisms
isogroup5721	Posttranslational modification, protein turnover, chaperones
isogroup18718	Nucleotide transport and metabolism
isogroup10699	Energy production and conversion
isogroup2336	Signal transduction mechanisms
isogroup2336	Cell motility
isogroup2336	Cytoskeleton
isogroup15256	Energy production and conversion
isogroup8345	Signal transduction mechanisms
isogroup30297	Cytoskeleton
isogroup12115	Amino acid transport and metabolism
isogroup17913	Energy production and conversion
isogroup17279	Carbohydrate transport and metabolism
isogroup1612	Replication, recombination and repair
isogroup7994	Nucleotide transport and metabolism
isogroup7994	Inorganic ion transport and metabolism
isogroup24437	RNA processing and modification 
isogroup24487	Signal transduction mechanisms
isogroup24487	Inorganic ion transport and metabolism
isogroup7910	Transcription
isogroup2134	Cytoskeleton
isogroup7176	Posttranslational modification, protein turnover, chaperones
isogroup1267	Inorganic ion transport and metabolism
isogroup16202	RNA processing and modification 
isogroup12655	Posttranslational modification, protein turnover, chaperones
isogroup1141.1	Transcription
isogroup1141.1	Signal transduction mechanisms
isogroup43964	Extracellular structures
isogroup45070	Defense mechanisms
isogroup17237	Intracellular trafficking, secretion, and vesicular transport
isogroup24601	Signal transduction mechanisms
isogroup4843	RNA processing and modification 
isogroup15515	Posttranslational modification, protein turnover, chaperones
isogroup33498	Cell wall/membrane/envelope biogenesis
isogroup33498	Posttranslational modification, protein turnover, chaperones
isogroup33498	Lipid transport and metabolism
isogroup4509	Replication, recombination and repair
isogroup27159	Cell motility
isogroup11579	Signal transduction mechanisms
isogroup436.2	RNA processing and modification 
isogroup13486	Signal transduction mechanisms
isogroup19354	Intracellular trafficking, secretion, and vesicular transport
isogroup19354	Energy production and conversion
isogroup25365	Signal transduction mechanisms
isogroup18205	Transcription
isogroup19002	Lipid transport and metabolism
isogroup8964	Signal transduction mechanisms
isogroup8964	Intracellular trafficking, secretion, and vesicular transport
isogroup5422	Posttranslational modification, protein turnover, chaperones
isogroup4504	RNA processing and modification 
isogroup1825	Secondary metabolites biosynthesis, transport and catabolism
isogroup14448	Secondary metabolites biosynthesis, transport and catabolism
isogroup10426	Amino acid transport and metabolism
isogroup30701	Cell wall/membrane/envelope biogenesis
isogroup10100	Signal transduction mechanisms
isogroup45353	Posttranslational modification, protein turnover, chaperones
isogroup45353	Carbohydrate transport and metabolism
isogroup22278	Translation, ribosomal structure and biogenesis
isogroup14706	Posttranslational modification, protein turnover, chaperones
isogroup27015	Signal transduction mechanisms
isogroup20940	Posttranslational modification, protein turnover, chaperones
isogroup3931	Signal transduction mechanisms
isogroup3931	Inorganic ion transport and metabolism
isogroup7462	Posttranslational modification, protein turnover, chaperones
isogroup10137	Lipid transport and metabolism
isogroup33557	Translation, ribosomal structure and biogenesis
isogroup4984	Posttranslational modification, protein turnover, chaperones
isogroup40750	Signal transduction mechanisms
isogroup8109	Signal transduction mechanisms
isogroup2446	Cytoskeleton
isogroup19347	Posttranslational modification, protein turnover, chaperones
isogroup16992	Lipid transport and metabolism
isogroup29326	Signal transduction mechanisms
isogroup8044	Transcription
isogroup39680	Signal transduction mechanisms
isogroup1567	Posttranslational modification, protein turnover, chaperones
isogroup17701	Translation, ribosomal structure and biogenesis
